,V1,V2,land.area,city.pop,elev
1,Argentina-Buenos_Aires,Argentina,307571,840100,54
2,Argentina-CABA,Argentina,203,14879100,25
6,Argentina-Chaco,Argentina,99633,424500,102
11,Argentina-Chubut,Argentina,224686,207100,447
3,Argentina-Cordoba,Argentina,165321,382900,373
7,Argentina-Corrientes,Argentina,88199,316782,96
8,Argentina-Formosa,Argentina,72066,249800,115
5,Argentina-Mendoza,Argentina,148827,1032800,875
9,Argentina-Salta,Argentina,155488,626600,1246
4,Argentina-Santa_Fe,Argentina,133007,531300,53
10,Argentina-Tucuman,Argentina,22524,883600,551
28,Colombia-Amazonas,Colombia,109665,26600,97
,Colombia-Antioquia,Colombia,63612,2480000,2099
,Colombia-Arauca,Colombia,23818,78900,132
24,Colombia-Bolívar,Colombia,25978,983400,16
30,Colombia-Boyaca,Colombia,23189,187700,2427
27,Colombia-Caldas,Colombia,7888,371300,3190
,Colombia-Atlántico,Colombia,3386,1224000,
,Colombia-Caqueta,Colombia,88965,157000,182
25,Colombia-Casanare,Colombia,44640,130900,154
31,Colombia-Cauca,Colombia,29308,252500,1693
16,Colombia-Cesar,Colombia,22905,405100,50
,Colombia-Choco,Colombia,46530,108600,167
14,Colombia-Cordoba,Colombia,25020,352300,63
21,Colombia-Cundinamarca,Colombia,22623,527600,3341
36,Colombia-Guainia,Colombia,72238,13000,177
22,Colombia-Guajira,Colombia,20848,236800,36
13,Colombia-Huila,Colombia,19890,326200,610
18,Colombia-Magdalena,Colombia,23188,482700,110
19,Colombia-Meta,Colombia,85635,482000,238
33,Colombia-Narino,Colombia,33268,376300,406
12,Colombia-Norte_Santander,Colombia,21658,640400,2283
26,Colombia-Putumayo,Colombia,24885,36100,254
32,Colombia-Quindio,Colombia,1845,291700,1458
23,Colombia-Risaralda,Colombia,4140,401200,1516
29,Colombia-San_Andres,Colombia,44,53700,37
20,Colombia-Santander,Colombia,30537,522100,1230
17,Colombia-Sucre,Colombia,10917,265400,31
15,Colombia-Tolima,Colombia,23562,533400,710
,Colombia-Guaviare,Colombia,53460,46700,
,Colombia-Valle,Colombia,22140,2383500,1561
34,Colombia-Vaupes,Colombia,65268,16600,293
35,Colombia-Vichada,Colombia,100242,13700,104
43,Dominican_Republic-Azua,Dominican_Republic,2683,93969,474
57,Dominican_Republic-Baoruco,Dominican_Republic,1285,37508,1285
40,Dominican_Republic-Barahona,Dominican_Republic,1660,84442,10
58,Dominican_Republic-Dajabon,Dominican_Republic,1021,28865,328
37,Dominican_Republic-Distrito_Nacional,Dominican_Republic,104,1022236,54
53,Dominican_Republic-Duarte,Dominican_Republic,1650,192669,119
59,Dominican_Republic-El_Seibo,Dominican_Republic,1788,70026,104
,Dominican_Republic-Elias_Pina,Dominican_Republic,1396,26077,454
46,Dominican_Republic-Espaillat,Dominican_Republic,843,184027,213
64,Dominican_Republic-Hato_Mayor,Dominican_Republic,1319,61981,222
,Dominican_Republic-Hermanas_Mirabal,Dominican_Republic,427,39613,481
39,Dominican_Republic-Independencia,Dominican_Republic,2007,17829,21
56,Dominican_Republic-La_Altagracia,Dominican_Republic,2998,303820,65
55,Dominican_Republic-La_Romana,Dominican_Republic,652,150862,63
47,Dominican_Republic-La_Vega,Dominican_Republic,2292,256146,1250
51,Dominican_Republic-Maria_Trinidad_Sanchez,Dominican_Republic,1207,77192,27
62,Dominican_Republic-Monsenor_Nouel,Dominican_Republic,992,130381,194
48,Dominican_Republic-Monte_Cristi,Dominican_Republic,1886,37777,22
63,Dominican_Republic-Monte_Plata,Dominican_Republic,2602,56447,86
54,Dominican_Republic-Pedernales,Dominican_Republic,2081,26202,283
49,Dominican_Republic-Peravia,Dominican_Republic,785,165446,184
41,Dominican_Republic-Puerto_Plata,Dominican_Republic,1806,163137,253
,Dominican_Republic-Samana,Dominican_Republic,126.5,13857,229
44,Dominican_Republic-San_Cristobal,Dominican_Republic,1241,618165,391
65,Dominican_Republic-San_Jose_de_Ocoa,Dominican_Republic,853,56027,1109
52,Dominican_Republic-San_Juan,Dominican_Republic,3364,225318,429
45,Dominican_Republic-San_Pedro_de_Macoris,Dominican_Republic,1254,301215,22
60,Dominican_Republic-Sanchez_Ramirez,Dominican_Republic,1186,76875,178
42,Dominican_Republic-Santiago,Dominican_Republic,2806,734026,495
61,Dominican_Republic-Santiago-Rodriguez,Dominican_Republic,1148,34490,243
38,Dominican_Republic-Santo_Domingo,Dominican_Republic,1298,1100336,54
50,Dominican_Republic-Valverde,Dominican_Republic,823,81575,60
80,Ecuador-Azuay,Ecuador,7995,603270,3817
,Ecuador-Bolivar,Ecuador,3926,13685,2507
,Ecuador-Canar,Ecuador,3142,35259,2342
79,Ecuador-Chimborazo,Ecuador,6470,255770,3642
67,Ecuador-El_Oro,Ecuador,5817,279890,271
68,Ecuador-Esmeraldas,Ecuador,16219,212950,184
69,Ecuador-Galapagos,Ecuador,8010,18960,9
70,Ecuador-Guayas,Ecuador,16803,2644890,7
78,Ecuador-Imbabura,Ecuador,4615,211240,3781
71,Ecuador-Los_Rios,Ecuador,7151,203650,30
72,Ecuador-Manabi,Ecuador,18894,313580,89
73,Ecuador-Orellana,Ecuador,21675,88110,232
74,Ecuador-Pichincha,Ecuador,9465,2644150,2796
75,Ecuador-Santa_Elena,Ecuador,3763,176370,62
76,Ecuador-Santo_Domingo_de_los_Tsachilas,Ecuador,3805,434850,604
77,Ecuador-Sucumbios,Ecuador,18008,111960,303
132,El_Salvador-Ahuachapan,El_Salvador,1240,129750,799
133,El_Salvador-Cabanas,El_Salvador,1104,73597,329
134,El_Salvador-Chalatenango,El_Salvador,2017,31364,406
135,El_Salvador-Cuscatlan,El_Salvador,756,57915,588
136,El_Salvador-La_Libertad,El_Salvador,1653,139814,493
137,El_Salvador-La_Paz,El_Salvador,1224,71173,3782
138,El_Salvador-La_Union,El_Salvador,2074,47239,122
139,El_Salvador-Morazan,El_Salvador,1447,27363,369
140,El_Salvador-San_Miguel,El_Salvador,2077,265921,336
141,El_Salvador-San_Salvador,El_Salvador,886,283223,460
142,El_Salvador-San_Vicente,El_Salvador,1184,61373,161
143,El_Salvador-Santa_Ana,El_Salvador,2023,272554,763
144,El_Salvador-Sonsonate,El_Salvador,1225,80727,235
145,El_Salvador-Usulutan,El_Salvador,2130,374915,958
93,Guatemala-Alta_Verapaz,Guatemala,8686,47202,1316
94,Guatemala-Baja_Verapaz,Guatemala,3124,18080,3124
98,Guatemala-Chimaltenango,Guatemala,1979,62917,
87,Guatemala-Chiquimula,Guatemala,2376,37602,
85,Guatemala-El_Progreso,Guatemala,1922,13931,
95,Guatemala-El_Quiche,Guatemala,8378,45549,
89,Guatemala-Escuintla,Guatemala,4384,86678,
,Guatemala-Guatemala,Guatemala,2126,942348,
99,Guatemala-Huehuetenango,Guatemala,7400,57289,
81,Guatemala-Izabal,Guatemala,9038,48581,
96,Guatemala-Jalapa,Guatemala,2063,39301,
91,Guatemala-Jutiapa,Guatemala,3219,28100,
82,Guatemala-Quetzaltenango,Guatemala,1951,120496,2333
88,Guatemala-Retalhuleu,Guatemala,1856,34300,
90,Guatemala-Sacatepequez,Guatemala,465,32218,
92,Guatemala-San_Marcos,Guatemala,3791,31783,
86,Guatemala-Santa_Rosa,Guatemala,2955,24085,
97,Guatemala-Solola,Guatemala,1061,30155,
83,Guatemala-Suchitepequez,Guatemala,2510,40281,271
84,Guatemala-Zacapa,Guatemala,2690,30036,220
100,Mexico-Aguascalientes,Mexico,5618,877190,
101,Mexico-Baja_California,Mexico,71446,1641570,
102,Mexico-Baja_California_Sur,Mexico,73922,287671,
103,Mexico-Campeche,Mexico,57924,283025,
104,Mexico-Chiapas,Mexico,73289,598710,
105,Mexico-Coahuila_de_Zaragoza,Mexico,151563,807537,
106,Mexico-Colima,Mexico,5625,184541,
,Mexico-Durango,Mexico,103,565300,1820
107,Mexico-Guerrero,Mexico,63621,810669,
108,Mexico-Hidalgo,Mexico,20846,277375,
109,Mexico-Jalisco,Mexico,78599,1460148,
,Mexico-Mexico,Mexico,22357,1742000,2605
110,Mexico-Michoacan_de_Ocampo,Mexico,58643,784776,
111,Mexico-Morelos,Mexico,4893,366321,
112,Mexico-Nayarit,Mexico,27815,413608,
113,Mexico-Nuevo_Leon,Mexico,64220,1109171,
114,Mexico-Oaxaca,Mexico,93793,264251,
115,Mexico-Puebla,Mexico,34290,1576259,
,Mexico-Queretaro_de_Arteaga,Mexico,102,642100,1856
116,Mexico-Quintana_Roo,Mexico,42361,743626,
117,Mexico-San_Luis_Potosi,Mexico,60983,824229,
118,Mexico-Sinaloa,Mexico,57377,905265,
119,Mexico-Sonora,Mexico,179503,884273,
120,Mexico-Tabasco,Mexico,24738,684847,
121,Mexico-Tamaulipas,Mexico,80175,646202,
122,Mexico-Veracruz_de_Ignacio_de_la_Llave,Mexico,71820,609964,
123,Mexico-Yucatan,Mexico,39612,892363,
124,Mexico-Zacatecas,Mexico,75539,230865,
126,Panama,Panama,11289,1141357,
127,Panama-Colon,Panama,11289,245665,
128,Panama-Darien,Panama,11893,30185,
130,Panama-Herrera,Panama,2362,56172,
125,Panama-Kuna_Yala,Panama,2358,44231,
129,Panama-San_Los_Santos,Panama,3809,29387,
131,Panama-Veraguas,Panama,10588,98900,
147,United_States_Virgin_Islands-Saint_Croix,United_States_Virgin_Islands,5100,2433,
148,United_States_Virgin_Islands-Saint_John,United_States_Virgin_Islands,8109,2866,
146,United_States_Virgin_Islands-Saint_Thomas,United_States_Virgin_Islands,21580,10354,
